交易日期,交易时间,摘要,地区,收入/支出金额,余额,对方户名,对方账号,渠道
2026-01-04,14:05:13,银联入账,,+700.00,"1,174,787.92",杨为唯,2088****0156,网上银行
2026-01-04,14:05:13,支付宝转账,1001,+625.00,"1,175,412.92",王天乐,2088****0156,快捷支付
2026-01-05,09:40:43,银联入账,1001,+800.00,"1,178,087.92",李莹,2088****0156,网上银行
2026-01-05,10:14:16,银联入账,1001,+625.00,"1,204,142.92",吴婉莹,2088****0156,网上银行
2026-01-05,10:15:44,银联入账,1001,"+2,600.00","1,206,742.92",陈志花,2088****0156,网上银行
2026-01-05,11:07:57,网转,1202,"+1,440.00","1,208,182.92",姜卉娟,6222021202047574745,手机银行
2026-01-05,14:05:13,他行汇入,1001,"+1,875.00","1,177,287.92",吴诗隽,6214861912322777,其他
2026-01-05,14:35:10,银联入账,1001,+900.00,"1,209,082.92",廖蓉蓉,2088****0156,网上银行
2026-01-05,14:39:17,他行汇入,1001,"+1,350.00","1,210,432.92",林洁娴,6214865920330615,其他
2026-01-05,14:54:22,银联入账,1001,"+1,400.00","1,179,487.92",严笑凯,2088****0156,网上银行
2026-01-05,15:13:06,银联入账,1001,"+2,375.00","1,181,862.92",吴婉莹,6217****4070,网上银行
2026-01-05,16:31:02,银联入账,1001,"+1,500.00","1,183,362.92",吴婉莹,6217****4070,网上银行
2026-01-05,16:31:57,支付宝转账,1001,"+1,075.00","1,184,437.92",吴婉莹,2088****0156,快捷支付
2026-01-05,16:31:57,,1001,"+2,700.00","1,187,137.92",吴婉莹,,
2026-01-05,16:31:57,支付宝转账,1001,"+3,980.00","1,191,117.92",吴婉莹,2088****0156,快捷支付
2026-01-05,16:31:57,网转,1102,"+1,740.00","1,192,857.92",宿康娜,6212261102037834333,手机银行
2026-01-05,17:09:49,银联入账,1001,"+1,350.00","1,194,207.92",黄欢芹,2088****0156,网上银行
2026-01-05,17:26:56,网转,0302,+875.00,"1,197,112.92",活期人民,,
2026-01-05,17:34:41,银联入账,1001,"+1,610.00","1,198,722.92",王鑫,2088****0156,快捷支付
2026-01-05,17:34:41,银联入账,,+350.00,"1,199,072.92",柳瑾菲,2088****0156,网上银行
2026-01-05,17:45:37,网转,2002,+525.00,"1,199,597.92",蔡晓霞,6212252002001520846,手机银行
2026-01-05,18:01:02,支付宝转账,1001,"+1,500.00","1,201,097.92",余美坚,2088****0156,快捷支付
2026-01-05,18:01:02,银联入账,1001,+250.00,"1,201,347.92",李娜燕,2088****0156,网上银行
2026-01-06,15:43:54,他行汇入,,+450.00,"1,210,882.92",胡元萌,6217560800019205060,其他
2026-01-06,15:43:54,他行汇入,1001,+450.00,"1,211,332.92",胡元萌,6230666531012655268,其他
2026-01-06,15:46:25,他行汇入,1001,+340.00,"1,211,672.92",江小凤,6217001830006174059,其他
2026-01-06,16:00:03,他行汇入,1001,+840.00,"1,212,512.92",郭雅杰,2088****0156,快捷支付
2026-01-06,16:00:03,银联入账,1001,+360.00,"1,212,872.92",孙秀丽,6222****2898,网上银行
2026-01-06,16:07:59,支付宝转账,1001,+320.00,"1,213,192.92",曹思明,2088****0156,快捷支付
2026-01-06,16:10:41,他行汇入,1001,+665.00,"1,213,857.92",郜阳,6214835715388565,其他
2026-01-06,16:14:22,他行汇入,1001,+500.00,"1,214,357.92",詹益贵,6216697000031672227,其他
2026-01-06,16:16:22,网转,1702,"+1,350.00","1,215,707.92",何欣,,
2026-01-06,16:23:57,支付宝转账,1001,"+1,250.00","1,216,957.92",吴凤依,2088****0156,快捷支付
2026-01-06,16:23:57,支付宝,1001,"+1,710.00","1,218,667.92",郑岚,2088****0156,快捷支付
2026-01-06,16:24:03,他行汇入,1001,"+3,000.00","1,221,667.92",张越淇,6217560800042390012,其他
2026-01-06,16:25:11,他行汇入,1001,+510.00,"1,222,897.92",其他,,
2026-01-06,16:30:56,支付宝,1001,+780.00,"1,223,677.92",陈丹丹,2088****0156,快捷支付
2026-01-06,16:30:56,支付宝,,+960.00,"1,224,637.92",江慧,2088****0156,快捷支付
2026-01-06,16:30:56,他行汇入,1001,+990.00,"1,225,627.92",吴军吉,6214835762486726,其他
2026-01-06,17:36:35,他行汇入,1001,"+1,024.00","1,226,651.92",刘壬婕,6228480039168859476,其他
2026-01-06,18:02:02,支付宝转账,1001,"+1,140.00","1,227,791.92",陈茗蓉,2088****0156,快捷支付
2026-01-06,18:06:32,他行汇入,1001,"+2,700.00","1,232,441.92",林凌,6217582600003672539,其他
2026-01-06,18:20:30,他行汇入,1001,"+2,560.00","1,235,001.92",王晨欣,2088****0156,快捷支付
2026-01-06,18:20:30,网转,4301,"+2,050.00","1,237,051.92",索瑞阳,6222034301005035676,手机银行
2026-01-06,18:43:06,支付宝,1001,+960.00,"1,238,011.92",赵华,2088****0156,快捷支付
2026-01-06,18:43:06,他行汇入,1001,"+1,350.00","1,239,361.92",张利雯,4563518003008218036,其他
2026-01-06,19:45:00,银联入账,,+450.00,"1,239,811.92",赵星宇,2088****0156,网上银行
2026-01-06,19:45:00,银联入账,1001,"+1,347.50","1,241,159.42",阳健,2088****0156,网上银行
2026-01-06,20:22:17,支付宝,1001,+840.00,"1,241,999.42",葛芳,2088****0156,快捷支付
2026-01-07,00:55:34,银联入账,1001,"+1,890.00","1,244,764.42",赵华,2088****0156,网上银行
2026-01-07,09:00:04,他行汇入,1001,"+1,949.00","1,246,713.42",何雨露,6214850286433807,其他
2026-01-07,09:50:32,他行汇入,1001,"+1,400.00","1,248,113.42",董晨晨,6666666043267863,其他
2026-01-07,09:55:05,银联入账,1001,+660.00,"1,248,773.42",俞昂辰,2088****0156,网上银行
2026-01-07,10:28:29,网转,3100,"+2,250.00","1,251,023.42",常蕊,,
2026-01-07,10:35:29,银联入账,1001,"+1,050.00","1,252,073.42",郝岳鹏翔,2088****0156,网上银行
2026-01-07,11:01:22,银联入账,1001,+750.00,"1,252,823.42",王天,2088****0156,网上银行
2026-01-07,11:50:53,他行汇入,1001,+960.00,"1,253,783.42",厉嘉欣,6217880800006889556,其他
2026-01-07,11:58:14,银联入账,1001,+800.00,"1,255,783.42",活期人民,,
2026-01-07,12:00:35,银联入账,1001,+570.00,"1,256,353.42",尹浩月,2088****0156,网上银行
2026-01-07,12:06:42,网转,,"+1,050.00","1,257,403.42",宋雅,6222021001132514412,手机银行
2026-01-07,12:24:33,银联入账,1001,"+2,277.00","1,259,680.42",郑明杰,2088****0156,网上银行
2026-01-07,13:03:40,他行汇入,1001,"+1,200.00","1,260,880.42",黄莞歆,6236681450006109471,其他
2026-01-07,15:41:06,他行汇入,1001,"+5,400.00","1,266,280.42",周美瑶,6217567600030892521,其他
2026-01-07,16:48:43,支付宝转账,1001,"+1,500.00","1,281,315.42",吴婉莹,2088****0156,快捷支付
2026-01-07,17:11:18,他行汇入,1001,+540.00,"1,274,020.42",覃宣宁,2088****0156,快捷支付
2026-01-07,17:11:18,他行汇入,1001,"+2,875.00","1,276,895.42",严竑博,6221805200042524107,其他
2026-01-07,19:02:00,他行汇入,1001,"+1,290.00","1,278,185.42",朱爽爽,6214855712354139,其他
2026-01-07,20:17:30,银联入账,1001,"+1,630.00","1,279,815.42",吴婉莹,2088****0156,网上银行
2026-01-07,20:22:17,网转,3602,+875.00,"1,242,874.42",麦颖欣,6212263602124675620,手机银行
2026-01-08,16:49:52,支付宝转账,,"+1,800.00","1,283,115.42",吴婉莹,2088****0156,快捷支付
2026-01-08,16:49:52,支付宝转账,1001,"+2,749.00","1,285,864.42",吴婉莹,2088****0156,快捷支付
2026-01-08,16:49:52,支付宝转账,1001,"+1,510.00","1,287,374.42",吴婉莹,2088****0156,快捷支付
